avaliacao,nota,sentimento
"Superou as expectativas, a compra é ótimo.",5,positivo
"A embalagem é ótimo, valeu o preço.",5,positivo
"Mas a entrega demorou um pouco, superou as expectativas, a compra é impecável.",5,positivo
"Poderia ser melhor, a entrega é fraco.",2,negativo
"Atende ao básico, atende ao básico.",3,neutro
"Esperava mais mas serve, mediano.",5,positivo
"Abaixo do esperado, a compra é frustrante.",2,negativo
"A entrega é decepcionante, demorou para chegar.",1,negativo
"Chegou quebrado, o atendimento é péssimo.",4,positivo
"Atendimento atencioso, a entrega é perfeito.",4,positivo
"O pedido é maravilhoso, só achei meio caro, atendimento atencioso.",5,positivo
"Entrega rápida, a entrega é incrível.",4,positivo
"O atendimento é péssimo, não recomendo.",4,positivo
"Mediano, chegou quebrado, comum, sem destaque.",3,neutro
"O produto é muito bom, atendimento atencioso.",4,positivo
"Chegou antes do prazo, o atendimento é incrível.",4,positivo
"Voltarei a comprar, o pedido é maravilhoso.",4,positivo
"Só achei meio caro, o pedido é perfeito, valeu o preço.",5,positivo
"Boa qualidade, mas a entrega demorou um pouco, o pedido é maravilhoso.",4,positivo
"A compra é bacana, entrega rápida.",5,positivo
"Entrega rápida, a entrega é bacana.",5,positivo
"Esperava mais mas serve, razoável pelo preço.",3,neutro
"A compra é péssimo, abaixo do esperado.",1,negativo
"A entrega é maravilhoso, atendimento atencioso.",5,positivo
"O produto é muito bom, voltarei a comprar.",4,positivo
"Valeu o preço, a compra é impecável.",5,positivo
"Razoável pelo preço, é ok.",1,negativo
Dentro do esperado.,5,positivo
"O pedido é impecável, voltarei a comprar.",5,positivo
"Atende ao básico, razoável pelo preço.",3,neutro
"Poderia ser melhor, a compra é frustrante, porém chegou rápido.",5,positivo
"Cumpre o que promete, razoável pelo preço.",3,neutro
"Recomendo, o produto é impecável.",5,positivo
"Recomendo, o pedido é incrível.",4,positivo
"Ainda assim a embalagem era bonita, veio com defeito, a compra é fraco.",2,negativo
"A embalagem é ótimo, boa qualidade.",5,positivo
Razoável pelo preço.,3,neutro
"Mediano, dentro do esperado.",3,neutro
"Chegou antes do prazo, o pedido é excelente.",5,positivo
"A embalagem é perfeito, valeu o preço, só achei meio caro.",5,positivo
"A compra é perfeito, atendimento atencioso.",5,positivo
"Abaixo do esperado, a embalagem é ruim.",1,negativo
"Atendimento atencioso, a compra é muito bom.",5,positivo
"A embalagem é decepcionante, chegou quebrado.",2,negativo
"O pedido é perfeito, voltarei a comprar.",4,positivo
Razoável pelo preço.,3,neutro
"Voltarei a comprar, o pedido é excelente.",5,positivo
"A embalagem é bacana, atendimento atencioso.",4,positivo
"Valeu o preço, a entrega é bacana.",5,positivo
"Valeu o preço, o pedido é excelente, mas a entrega demorou um pouco.",5,positivo
"Superou as expectativas, o pedido é maravilhoso.",5,positivo
"A compra é incrível, entrega rápida.",5,positivo
"Comum, sem destaque, demorou para chegar, mediano.",5,positivo
"A entrega é maravilhoso, recomendo.",4,positivo
"Atendimento atencioso, o atendimento é impecável.",4,positivo
"A embalagem é bacana, chegou antes do prazo.",5,positivo
Atende ao básico.,3,neutro
"Mas a entrega demorou um pouco, a embalagem é bacana, valeu o preço.",1,negativo
"A entrega é horrível, não recomendo.",2,negativo
"O produto é incrível, boa qualidade.",5,positivo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"A embalagem é incrível, entrega rápida.",3,neutro
"Entrega rápida, o atendimento é bacana.",4,positivo
"A compra é ótimo, superou as expectativas.",4,positivo
"Entrega rápida, a entrega é impecável, mas a entrega demorou um pouco.",5,positivo
"A compra é maravilhoso, entrega rápida.",5,positivo
"A embalagem é ruim, abaixo do esperado.",2,negativo
"O atendimento é fraco, veio com defeito.",2,negativo
"O pedido é horrível, tive problema na troca.",2,negativo
"Chegou antes do prazo, a entrega é incrível.",5,positivo
"Boa qualidade, o pedido é muito bom.",4,positivo
"Chegou antes do prazo, o atendimento é maravilhoso.",5,positivo
"Entrega rápida, a entrega é impecável.",5,positivo
"Recomendo, a entrega é muito bom, mas a entrega demorou um pouco.",4,positivo
"Superou as expectativas, a compra é impecável.",5,positivo
"A compra é maravilhoso, apesar de um arranhão na caixa, boa qualidade.",5,positivo
"A embalagem é bacana, valeu o preço.",5,positivo
"A embalagem é perfeito, voltarei a comprar.",4,positivo
"O atendimento é horrível, abaixo do esperado.",2,negativo
"Entrega rápida, o atendimento é ótimo.",4,positivo
"O atendimento é maravilhoso, valeu o preço.",5,positivo
"A embalagem é fraco, veio com defeito.",2,negativo
"A compra é decepcionante, demorou para chegar.",1,negativo
"Atendimento atencioso, o pedido é ótimo.",5,positivo
"O produto é muito bom, entrega rápida.",5,positivo
"A entrega é fraco, tive problema na troca.",1,negativo
"Tive problema na troca, a entrega é frustrante.",1,negativo
"A compra é bacana, recomendo.",4,positivo
"O pedido é perfeito, voltarei a comprar, apesar de um arranhão na caixa.",5,positivo
"A compra é ótimo, entrega rápida.",5,positivo
"O produto é bacana, boa qualidade.",5,positivo
"Veio com defeito, a embalagem é fraco.",5,positivo
"Comum, sem destaque, mediano, abaixo do esperado.",3,neutro
"Demorou para chegar, a compra é frustrante.",2,negativo
"A embalagem é maravilhoso, valeu o preço.",4,positivo
"Recomendo, a entrega é bacana.",3,neutro
"O atendimento é impecável, mas a entrega demorou um pouco, valeu o preço.",5,positivo
"A entrega é impecável, entrega rápida.",4,positivo
"É ok, é ok.",4,positivo
"Voltarei a comprar, a entrega é incrível.",5,positivo
Dentro do esperado.,3,neutro
"O atendimento é péssimo, veio com defeito.",2,negativo
"A compra é decepcionante, não recomendo.",2,negativo
"A compra é incrível, atendimento atencioso.",5,positivo
"A entrega é frustrante, chegou quebrado.",2,negativo
"O pedido é ruim, chegou quebrado.",2,negativo
Esperava mais mas serve.,3,neutro
"Poderia ser melhor, o atendimento é ruim.",2,negativo
"Boa qualidade, o produto é perfeito.",5,positivo
"Razoável pelo preço, mediano.",1,negativo
"Entrega rápida, o pedido é maravilhoso.",5,positivo
É ok.,3,neutro
"Atende ao básico, esperava mais mas serve.",5,positivo
"Chegou antes do prazo, o atendimento é impecável.",4,positivo
"Apesar de um arranhão na caixa, a compra é muito bom, recomendo.",5,positivo
"A compra é ruim, veio com defeito, porém chegou rápido.",1,negativo
"A compra é impecável, boa qualidade.",5,positivo
"Atendimento atencioso, razoável pelo preço, é ok.",3,neutro
Dentro do esperado.,3,neutro
"A embalagem é ótimo, recomendo.",5,positivo
"Cumpre o que promete, razoável pelo preço.",3,neutro
"Valeu o preço, a entrega é ótimo.",4,positivo
"O produto é perfeito, entrega rápida.",5,positivo
É ok.,3,neutro
"Voltarei a comprar, apesar de um arranhão na caixa, a compra é incrível.",4,positivo
"Valeu o preço, o pedido é muito bom, só achei meio caro.",4,positivo
"O pedido é horrível, demorou para chegar, ainda assim a embalagem era bonita.",2,negativo
"Comum, sem destaque.",3,neutro
"Razoável pelo preço, mediano.",3,neutro
"A embalagem é maravilhoso, valeu o preço.",4,positivo
"Veio com defeito, o produto é frustrante.",1,negativo
É ok.,3,neutro
"Valeu o preço, a compra é impecável.",5,positivo
"O produto é bacana, chegou antes do prazo.",4,positivo
"O produto é muito bom, atendimento atencioso.",4,positivo
"A embalagem é horrível, não recomendo.",1,negativo
"O atendimento é perfeito, recomendo.",4,positivo
Razoável pelo preço.,3,neutro
"Mediano, veio com defeito.",2,negativo
"O pedido é frustrante, poderia ser melhor.",1,negativo
"A compra é impecável, entrega rápida.",4,positivo
"A entrega é perfeito, atendimento atencioso.",5,positivo
"O pedido é muito bom, recomendo.",1,negativo
"Demorou para chegar, o atendimento é horrível.",5,positivo
"O atendimento é perfeito, apesar de um arranhão na caixa, recomendo.",4,positivo
"Superou as expectativas, o atendimento é bacana.",4,positivo
"O atendimento é perfeito, apesar de um arranhão na caixa, atendimento atencioso.",5,positivo
"O produto é bacana, só achei meio caro, boa qualidade.",5,positivo
"Tive problema na troca, o pedido é horrível.",1,negativo
"Chegou antes do prazo, a entrega é perfeito.",3,neutro
"A embalagem é ótimo, voltarei a comprar.",5,positivo
"Valeu o preço, a compra é bacana.",5,positivo
"Recomendo, a entrega é bacana.",4,positivo
"Dentro do esperado, razoável pelo preço.",3,neutro
"Mas o atendimento tentou ajudar, não recomendo, a embalagem é péssimo.",1,negativo
"O pedido é frustrante, abaixo do esperado.",2,negativo
"Superou as expectativas, a compra é ótimo.",5,positivo
"Veio com defeito, o atendimento é fraco.",4,positivo
"O atendimento é muito bom, superou as expectativas.",5,positivo
"O atendimento é maravilhoso, boa qualidade.",4,positivo
"Entrega rápida, o produto é perfeito.",5,positivo
"Poderia ser melhor, o atendimento é péssimo.",4,positivo
"Recomendo, o pedido é maravilhoso.",5,positivo
"Valeu o preço, o pedido é incrível.",4,positivo
"Atende ao básico, cumpre o que promete.",3,neutro
"Valeu o preço, a embalagem é bacana.",5,positivo
"A compra é ruim, mas o atendimento tentou ajudar, demorou para chegar.",2,negativo
"Não recomendo, a entrega é horrível.",1,negativo
"É ok, atende ao básico.",3,neutro
"A compra é perfeito, entrega rápida.",1,negativo
Razoável pelo preço.,3,neutro
"Boa qualidade, a compra é maravilhoso.",5,positivo
"Comum, sem destaque, dentro do esperado.",3,neutro
"Recomendo, o pedido é maravilhoso.",5,positivo
"Voltarei a comprar, o atendimento é ótimo.",5,positivo
"A embalagem é impecável, boa qualidade.",5,positivo
"Atendimento atencioso, o pedido é perfeito, apesar de um arranhão na caixa.",4,positivo
"A embalagem é péssimo, chegou quebrado.",3,neutro
"Superou as expectativas, a embalagem é impecável.",4,positivo
É ok.,3,neutro
"Apesar de um arranhão na caixa, a compra é bacana, voltarei a comprar.",4,positivo
"O pedido é incrível, voltarei a comprar.",4,positivo
"Entrega rápida, o pedido é muito bom.",4,positivo
"Recomendo, o atendimento é muito bom.",5,positivo
Razoável pelo preço.,3,neutro
Esperava mais mas serve.,3,neutro
"Valeu o preço, o pedido é maravilhoso.",5,positivo
"A embalagem é excelente, boa qualidade.",5,positivo
"O atendimento é ótimo, superou as expectativas.",5,positivo
"Superou as expectativas, o pedido é incrível.",5,positivo
"Abaixo do esperado, o atendimento é ruim.",1,negativo
"A embalagem é incrível, recomendo.",4,positivo
"Demorou para chegar, a compra é horrível.",2,negativo
"O pedido é maravilhoso, superou as expectativas.",5,positivo
"O atendimento é horrível, demorou para chegar, porém chegou rápido.",2,negativo
"O produto é péssimo, tive problema na troca, ainda assim a embalagem era bonita.",2,negativo
"Atende ao básico, razoável pelo preço.",5,positivo
"Mediano, atende ao básico.",4,positivo
"Voltarei a comprar, a entrega é ótimo.",5,positivo
"Só achei meio caro, superou as expectativas, a entrega é ótimo.",4,positivo
"Poderia ser melhor, a compra é péssimo.",5,positivo
"Abaixo do esperado, o atendimento é frustrante.",2,negativo
"Tive problema na troca, a entrega é péssimo, ainda assim a embalagem era bonita.",2,negativo
"O pedido é ruim, abaixo do esperado.",1,negativo
"Chegou antes do prazo, mas a entrega demorou um pouco, o atendimento é perfeito.",4,positivo
"Esperava mais mas serve, razoável pelo preço, entrega rápida.",3,neutro
Mediano.,2,negativo
"Atendimento atencioso, a embalagem é perfeito.",4,positivo
"Chegou antes do prazo, a embalagem é maravilhoso.",5,positivo
"É ok, atende ao básico.",3,neutro
"Dentro do esperado, é ok.",3,neutro
"O atendimento é incrível, boa qualidade, apesar de um arranhão na caixa.",4,positivo
"Comum, sem destaque.",3,neutro
"Mas a entrega demorou um pouco, o produto é bacana, recomendo.",5,positivo
Mediano.,3,neutro
"Comum, sem destaque, comum, sem destaque.",3,neutro
"Chegou antes do prazo, a entrega é impecável.",5,positivo
"Só achei meio caro, o atendimento é bacana, superou as expectativas.",4,positivo
"É ok, esperava mais mas serve.",3,neutro
"O pedido é perfeito, recomendo.",4,positivo
"Tive problema na troca, o produto é frustrante.",1,negativo
"Não recomendo, esperava mais mas serve, dentro do esperado.",3,neutro
"Atendimento atencioso, o atendimento é bacana.",4,positivo
"Comum, sem destaque, é ok.",3,neutro
"Atendimento atencioso, o produto é maravilhoso, mas a entrega demorou um pouco.",5,positivo
"O pedido é perfeito, boa qualidade.",4,positivo
"Boa qualidade, o atendimento é bacana.",2,negativo
"Mas a entrega demorou um pouco, voltarei a comprar, a entrega é maravilhoso.",5,positivo
"Abaixo do esperado, o atendimento é péssimo.",3,neutro
"A entrega é excelente, só achei meio caro, chegou antes do prazo.",5,positivo
"O produto é fraco, poderia ser melhor.",4,positivo
"Superou as expectativas, mas a entrega demorou um pouco, a embalagem é ótimo.",5,positivo
"O produto é muito bom, boa qualidade.",5,positivo
"O atendimento é fraco, demorou para chegar.",3,neutro
"O produto é incrível, valeu o preço.",5,positivo
"Chegou quebrado, o pedido é péssimo.",2,negativo
"Demorou para chegar, o atendimento é ruim, mas o atendimento tentou ajudar.",1,negativo
"O atendimento é muito bom, recomendo.",4,positivo
"Mediano, atende ao básico.",3,neutro
"Cumpre o que promete, esperava mais mas serve.",5,positivo
"Veio com defeito, o pedido é fraco.",2,negativo
"Comum, sem destaque.",5,positivo
"Atendimento atencioso, o pedido é impecável.",5,positivo
"A compra é muito bom, atendimento atencioso.",5,positivo
"Poderia ser melhor, o produto é decepcionante.",2,negativo
Mediano.,3,neutro
"Não recomendo, a compra é péssimo.",2,negativo
"A compra é bacana, atendimento atencioso.",4,positivo
"A embalagem é excelente, voltarei a comprar.",4,positivo
"Poderia ser melhor, a entrega é decepcionante.",2,negativo
"O pedido é ótimo, chegou antes do prazo.",5,positivo
"Mediano, dentro do esperado, superou as expectativas.",3,neutro
"O produto é horrível, abaixo do esperado.",1,negativo
Razoável pelo preço.,3,neutro
"Mas a entrega demorou um pouco, a embalagem é bacana, voltarei a comprar.",4,positivo
"O pedido é decepcionante, demorou para chegar.",1,negativo
"A embalagem é incrível, só achei meio caro, valeu o preço.",5,positivo
"Atendimento atencioso, o atendimento é perfeito.",5,positivo
"Boa qualidade, a embalagem é ótimo.",4,positivo
"A entrega é perfeito, voltarei a comprar.",5,positivo
"O atendimento é maravilhoso, entrega rápida.",5,positivo
"Dentro do esperado, atende ao básico.",3,neutro
"A embalagem é incrível, boa qualidade.",4,positivo
"Valeu o preço, o pedido é ótimo.",5,positivo
"O produto é perfeito, entrega rápida.",4,positivo
"Demorou para chegar, a embalagem é frustrante.",2,negativo
"Recomendo, a entrega é impecável.",5,positivo
"Não recomendo, o atendimento é decepcionante.",1,negativo
"A entrega é perfeito, atendimento atencioso.",4,positivo
"Superou as expectativas, a entrega é bacana.",5,positivo
"A compra é muito bom, chegou antes do prazo.",5,positivo
"O pedido é horrível, demorou para chegar.",2,negativo
"Recomendo, o atendimento é excelente.",5,positivo
"Chegou antes do prazo, mas a entrega demorou um pouco, o pedido é excelente.",4,positivo
"Veio com defeito, o pedido é ruim.",2,negativo
"Voltarei a comprar, apesar de um arranhão na caixa, o atendimento é impecável.",3,neutro
"Ainda assim a embalagem era bonita, veio com defeito, o pedido é ruim.",4,positivo
Mediano.,3,neutro
"Não recomendo, a entrega é decepcionante.",1,negativo
"Poderia ser melhor, a compra é frustrante.",2,negativo
"Atendimento atencioso, o pedido é muito bom.",5,positivo
"O pedido é decepcionante, chegou quebrado.",1,negativo
"O atendimento é excelente, recomendo.",4,positivo
"Tive problema na troca, mas o atendimento tentou ajudar, a entrega é horrível.",2,negativo
"Tive problema na troca, a entrega é fraco.",1,negativo
"Dentro do esperado, é ok.",3,neutro
"O produto é bacana, mas a entrega demorou um pouco, chegou antes do prazo.",4,positivo
"A embalagem é frustrante, não recomendo.",1,negativo
"O atendimento é excelente, valeu o preço.",2,negativo
"O produto é fraco, tive problema na troca.",1,negativo
"Poderia ser melhor, a embalagem é fraco.",2,negativo
"O atendimento é perfeito, boa qualidade.",5,positivo
"Entrega rápida, mas a entrega demorou um pouco, o atendimento é impecável.",5,positivo
"O produto é decepcionante, demorou para chegar.",2,negativo
"Voltarei a comprar, a embalagem é ótimo.",5,positivo
Atende ao básico.,3,neutro
"Chegou quebrado, o produto é decepcionante.",1,negativo
"Não recomendo, ainda assim a embalagem era bonita, o produto é fraco.",2,negativo
"Mas a entrega demorou um pouco, atendimento atencioso, a entrega é incrível.",5,positivo
"Esperava mais mas serve, razoável pelo preço.",3,neutro
"O pedido é fraco, demorou para chegar.",1,negativo
"Demorou para chegar, o produto é decepcionante.",1,negativo
"O pedido é muito bom, valeu o preço.",4,positivo
"Demorou para chegar, o produto é ruim.",2,negativo
"O pedido é incrível, atendimento atencioso.",5,positivo
"O atendimento é excelente, chegou antes do prazo.",5,positivo
"O pedido é bacana, chegou antes do prazo.",5,positivo
"Chegou antes do prazo, mas a entrega demorou um pouco, o produto é perfeito.",4,positivo
Mediano.,3,neutro
"A compra é maravilhoso, entrega rápida.",5,positivo
"A compra é incrível, valeu o preço.",4,positivo
"Entrega rápida, o pedido é ótimo.",4,positivo
"Razoável pelo preço, comum, sem destaque.",3,neutro
"Poderia ser melhor, o produto é frustrante.",2,negativo
"Veio com defeito, a embalagem é decepcionante.",1,negativo
"Chegou quebrado, a embalagem é decepcionante, ainda assim a embalagem era bonita.",2,negativo
Cumpre o que promete.,3,neutro
"A compra é incrível, recomendo.",5,positivo
Esperava mais mas serve.,3,neutro
"Não recomendo, o pedido é decepcionante.",2,negativo
"A embalagem é frustrante, veio com defeito.",1,negativo
"A embalagem é incrível, entrega rápida.",4,positivo
"Superou as expectativas, o pedido é incrível.",5,positivo
"O produto é ruim, mas o atendimento tentou ajudar, abaixo do esperado.",4,positivo
"Abaixo do esperado, o produto é ruim.",2,negativo
"O atendimento é muito bom, chegou antes do prazo.",4,positivo
"O pedido é fraco, chegou quebrado.",2,negativo
"O produto é impecável, boa qualidade.",5,positivo
"A embalagem é fraco, não recomendo.",1,negativo
"O produto é muito bom, valeu o preço.",5,positivo
"A embalagem é maravilhoso, atendimento atencioso, mas a entrega demorou um pouco.",4,positivo
"O atendimento é péssimo, veio com defeito.",2,negativo
"Chegou quebrado, o produto é frustrante, mas o atendimento tentou ajudar.",1,negativo
"Atende ao básico, comum, sem destaque.",3,neutro
"Chegou antes do prazo, mas a entrega demorou um pouco, o atendimento é impecável.",5,positivo
"Mas a entrega demorou um pouco, boa qualidade, a entrega é excelente.",5,positivo
"Não recomendo, o atendimento é horrível.",2,negativo
"A entrega é fraco, veio com defeito.",2,negativo
"Poderia ser melhor, o pedido é frustrante.",2,negativo
"Não recomendo, o produto é decepcionante.",2,negativo
"Recomendo, o produto é impecável.",4,positivo
"Poderia ser melhor, a entrega é horrível.",2,negativo
"Atendimento atencioso, a entrega é perfeito.",4,positivo
"O atendimento é incrível, chegou antes do prazo.",5,positivo
"Demorou para chegar, a compra é decepcionante.",1,negativo
Dentro do esperado.,5,positivo
"O pedido é fraco, demorou para chegar.",1,negativo
"A compra é incrível, boa qualidade.",4,positivo
"Chegou antes do prazo, a compra é maravilhoso.",4,positivo
"A embalagem é impecável, voltarei a comprar.",5,positivo
"O pedido é frustrante, abaixo do esperado.",1,negativo
"A compra é muito bom, valeu o preço.",4,positivo
"Mas a entrega demorou um pouco, a entrega é impecável, valeu o preço.",5,positivo
"O produto é impecável, superou as expectativas.",5,positivo
"Chegou antes do prazo, o atendimento é ótimo.",5,positivo
"A compra é péssimo, não recomendo.",1,negativo
"O produto é perfeito, chegou antes do prazo.",5,positivo
"Boa qualidade, cumpre o que promete.",3,neutro
"Cumpre o que promete, esperava mais mas serve.",3,neutro
Razoável pelo preço.,2,negativo
"Valeu o preço, o produto é maravilhoso.",4,positivo
"O pedido é impecável, só achei meio caro, superou as expectativas.",1,negativo
"Comum, sem destaque.",3,neutro
"A compra é ruim, chegou quebrado.",2,negativo
Cumpre o que promete.,3,neutro
"Boa qualidade, a compra é muito bom.",4,positivo
Esperava mais mas serve.,2,negativo
"Boa qualidade, a compra é perfeito.",5,positivo
Atende ao básico.,3,neutro
"O atendimento é péssimo, veio com defeito.",4,positivo
"Não recomendo, o produto é horrível.",4,positivo
"Chegou quebrado, a entrega é horrível.",1,negativo
"A entrega é maravilhoso, chegou antes do prazo.",4,positivo
"Tive problema na troca, o atendimento é frustrante.",1,negativo
Razoável pelo preço.,3,neutro
"É ok, dentro do esperado.",3,neutro
"O pedido é bacana, recomendo.",5,positivo
"Demorou para chegar, comum, sem destaque.",5,positivo
"A embalagem é ruim, veio com defeito.",1,negativo
"O pedido é incrível, voltarei a comprar.",5,positivo
"A compra é perfeito, boa qualidade.",5,positivo
"A compra é muito bom, atendimento atencioso.",4,positivo
"Não recomendo, o produto é decepcionante.",3,neutro
"O pedido é ótimo, só achei meio caro, boa qualidade.",5,positivo
"O pedido é muito bom, atendimento atencioso.",5,positivo
"Esperava mais mas serve, atende ao básico.",3,neutro
"Boa qualidade, o atendimento é ótimo.",4,positivo
"Comum, sem destaque, razoável pelo preço, veio com defeito.",3,neutro
"O pedido é horrível, poderia ser melhor.",2,negativo
Mediano.,3,neutro
"O atendimento é muito bom, voltarei a comprar.",4,positivo
"Valeu o preço, o atendimento é ótimo.",4,positivo
"Só achei meio caro, entrega rápida, o atendimento é incrível.",4,positivo
Razoável pelo preço.,2,negativo
"Tive problema na troca, a compra é horrível, mas o atendimento tentou ajudar.",1,negativo
"Mas o atendimento tentou ajudar, tive problema na troca, a entrega é decepcionante.",1,negativo
"Esperava mais mas serve, razoável pelo preço.",3,neutro
"Boa qualidade, a embalagem é incrível.",5,positivo
"Valeu o preço, o produto é perfeito.",5,positivo
"Abaixo do esperado, a embalagem é horrível.",4,positivo
"Recomendo, a embalagem é bacana.",5,positivo
"O pedido é ruim, tive problema na troca.",5,positivo
"Recomendo, a embalagem é incrível.",4,positivo
"Superou as expectativas, o produto é incrível.",5,positivo
"O pedido é incrível, chegou antes do prazo.",4,positivo
Mediano.,3,neutro
"A compra é frustrante, abaixo do esperado, porém chegou rápido.",2,negativo
"Chegou antes do prazo, a entrega é impecável.",4,positivo
"O produto é frustrante, chegou quebrado.",1,negativo
"Poderia ser melhor, a embalagem é frustrante.",2,negativo
"Mas a entrega demorou um pouco, valeu o preço, a compra é bacana.",4,positivo
"A embalagem é excelente, entrega rápida.",4,positivo
"Entrega rápida, esperava mais mas serve.",3,neutro
"A entrega é maravilhoso, chegou antes do prazo.",5,positivo
"Razoável pelo preço, dentro do esperado.",3,neutro
"A entrega é ótimo, só achei meio caro, voltarei a comprar.",5,positivo
"O atendimento é perfeito, superou as expectativas.",5,positivo
"Superou as expectativas, o pedido é excelente.",5,positivo
"A embalagem é muito bom, entrega rápida.",5,positivo
"O pedido é fraco, tive problema na troca.",1,negativo
"Valeu o preço, o atendimento é excelente.",5,positivo
"A compra é perfeito, voltarei a comprar.",5,positivo
"Chegou quebrado, o produto é decepcionante.",1,negativo
"Voltarei a comprar, o atendimento é bacana.",5,positivo
"Voltarei a comprar, a compra é perfeito.",5,positivo
"Recomendo, o pedido é bacana.",4,positivo
"Dentro do esperado, é ok.",3,neutro
"Superou as expectativas, o atendimento é incrível.",4,positivo
"O produto é maravilhoso, recomendo.",5,positivo
"Comum, sem destaque, cumpre o que promete.",2,negativo
"Entrega rápida, a entrega é bacana.",5,positivo
"A embalagem é frustrante, chegou quebrado.",2,negativo
Atende ao básico.,3,neutro
"Chegou antes do prazo, o atendimento é ótimo.",5,positivo
"Esperava mais mas serve, é ok.",4,positivo
"Comum, sem destaque.",3,neutro
"A compra é ótimo, entrega rápida, apesar de um arranhão na caixa.",5,positivo
"Atendimento atencioso, o produto é bacana, apesar de um arranhão na caixa.",4,positivo
"O atendimento é impecável, voltarei a comprar.",5,positivo
"É ok, esperava mais mas serve.",3,neutro
"Entrega rápida, a entrega é bacana.",5,positivo
"É ok, dentro do esperado.",4,positivo
"Recomendo, a entrega é excelente.",5,positivo
"Recomendo, a compra é maravilhoso.",5,positivo
"Boa qualidade, o pedido é ótimo.",4,positivo
"O produto é muito bom, entrega rápida.",5,positivo
É ok.,3,neutro
"Valeu o preço, o atendimento é impecável.",4,positivo
"O atendimento é horrível, poderia ser melhor.",2,negativo
"O produto é bacana, chegou antes do prazo.",5,positivo
"Voltarei a comprar, a compra é impecável.",4,positivo
"O atendimento é muito bom, boa qualidade.",5,positivo
"Atendimento atencioso, a entrega é excelente.",4,positivo
"A compra é impecável, boa qualidade.",5,positivo
"Apesar de um arranhão na caixa, o pedido é excelente, boa qualidade.",5,positivo
"O produto é horrível, ainda assim a embalagem era bonita, veio com defeito.",2,negativo
"Poderia ser melhor, mas o atendimento tentou ajudar, a embalagem é péssimo.",2,negativo
"O produto é perfeito, voltarei a comprar.",4,positivo
"Comum, sem destaque.",3,neutro
"Valeu o preço, o pedido é excelente.",4,positivo
"A entrega é perfeito, entrega rápida.",5,positivo
"Chegou antes do prazo, comum, sem destaque.",1,negativo
"O produto é decepcionante, demorou para chegar.",2,negativo
"Dentro do esperado, é ok.",3,neutro
"Entrega rápida, o atendimento é muito bom.",5,positivo
Dentro do esperado.,3,neutro
"Tive problema na troca, a embalagem é ruim.",2,negativo
"A embalagem é muito bom, boa qualidade.",4,positivo
"Voltarei a comprar, a embalagem é muito bom.",4,positivo
É ok.,3,neutro
"O pedido é maravilhoso, só achei meio caro, chegou antes do prazo.",3,neutro
"A compra é frustrante, poderia ser melhor.",2,negativo
"A embalagem é ruim, não recomendo.",5,positivo
"O produto é maravilhoso, superou as expectativas, só achei meio caro.",3,neutro
"Superou as expectativas, a embalagem é bacana.",2,negativo
"A embalagem é ruim, abaixo do esperado.",1,negativo
"Tive problema na troca, a entrega é horrível.",2,negativo
"A embalagem é ótimo, recomendo.",4,positivo
Esperava mais mas serve.,3,neutro
"O produto é frustrante, poderia ser melhor.",1,negativo
"Poderia ser melhor, o produto é péssimo.",3,neutro
"O pedido é perfeito, entrega rápida.",4,positivo
"O pedido é frustrante, abaixo do esperado.",1,negativo
"Só achei meio caro, a compra é muito bom, chegou antes do prazo.",4,positivo
"Mas a entrega demorou um pouco, atendimento atencioso, a embalagem é muito bom.",5,positivo
"Boa qualidade, o produto é impecável.",5,positivo
"Chegou quebrado, o atendimento é ruim.",2,negativo
"O produto é bacana, recomendo.",4,positivo
"A entrega é fraco, não recomendo.",5,positivo
"Chegou quebrado, o atendimento é frustrante.",2,negativo
Dentro do esperado.,3,neutro
"O pedido é péssimo, demorou para chegar.",2,negativo
"A entrega é muito bom, chegou antes do prazo.",5,positivo
"Não recomendo, o pedido é frustrante, porém chegou rápido.",1,negativo
Mediano.,3,neutro
"A entrega é incrível, atendimento atencioso, só achei meio caro.",4,positivo
"Mediano, cumpre o que promete.",5,positivo
"O atendimento é fraco, demorou para chegar, porém chegou rápido.",1,negativo
"O atendimento é muito bom, atendimento atencioso.",4,positivo
"O pedido é impecável, entrega rápida.",5,positivo
"Esperava mais mas serve, atende ao básico.",3,neutro
"O produto é perfeito, boa qualidade.",5,positivo
"O pedido é impecável, superou as expectativas.",4,positivo
"Mas a entrega demorou um pouco, superou as expectativas, a compra é ótimo.",5,positivo
"O produto é ótimo, atendimento atencioso.",5,positivo
"A entrega é ótimo, boa qualidade.",4,positivo
Esperava mais mas serve.,3,neutro
"Só achei meio caro, o pedido é bacana, superou as expectativas.",5,positivo
"Boa qualidade, o pedido é ótimo.",5,positivo
"Comum, sem destaque, comum, sem destaque.",3,neutro
"Recomendo, o atendimento é muito bom.",5,positivo
"O produto é impecável, voltarei a comprar.",5,positivo
"O pedido é péssimo, poderia ser melhor.",1,negativo
"O atendimento é ótimo, atendimento atencioso.",4,positivo
"A embalagem é bacana, apesar de um arranhão na caixa, chegou antes do prazo.",5,positivo
"Superou as expectativas, a compra é maravilhoso.",5,positivo
"A embalagem é bacana, atendimento atencioso.",5,positivo
"O produto é impecável, apesar de um arranhão na caixa, voltarei a comprar.",4,positivo
"Abaixo do esperado, o produto é frustrante.",1,negativo
